评估资产,文化程度,人均工资,月末合计,货币资金,应收票据,存货,固定资产,总资产,借款,应付票据,应交税金,实收资本,负债及权益,应收帐款,预付账款,应付账款,收入,成本税金,期间费用,外收净额,所得税,净利润,毛利率,净利率,个人保证,企业保证,房产抵押,知识产权质押,应收账款质押,营运资金,净资产,资产负债率,流动比率,速动比率,长期资产适宜率,齿轮比率,年营业收入,销售利润率,净资产回报率,利息保障倍数,净资产增长率,销售收入增长率,利润增长率,利润增长额,报告编号
1.0,3.0,6650.0,1071.0,2486.0,2208.0,0.0,567.0,24230.0,4968.0,358.0,429.0,5580.0,24230.0,17876.0,429.0,2781.0,17610.0,14871.0,1896.0,-2.0,253.0,760.0,0.16,0.04,1.0,0.0,0.0,0.0,1.0,10423.0,9991.0,0.59,1.8,1.8,19.8,0.53,17610.0,0.04,0.08,3.78,0.23,0.65,0.09,65.0,001562102
1.0,3.0,7364.0,2030.0,4399.0,1868.0,0.0,504.0,22902.0,4960.0,1840.0,314.0,5580.0,22902.0,14171.0,787.0,2737.0,34757.0,28004.0,4686.0,-60.0,378.0,1805.0,0.2,0.05,1.0,0.0,0.0,0.0,1.0,11396.0,11032.0,0.52,2.06,2.06,24.02,0.62,34757.0,0.05,0.18,3.85,0.21,-0.04,0.1,167.0,001562202
1.0,4.0,13135.0,3962.0,3613.0,164.0,28785.0,1062.0,47050.0,6207.0,0.0,947.0,5000.0,47050.0,1733.0,7011.295489359003,1357.0,204539.0,194806.0,8500.0,0.0,308.0,924.0,0.05,0.0,1.0,0.0,0.0,0.0,0.0,10789.0,11561.0,0.75,1.31,0.49,11.16,0.54,182756.21688535265,0.0,0.09,2.7,0.19,0.1,0.02,22.0,011032201
0.0,4.0,8000.0,399.0,364.0,50.0,2957.0,708.0,7875.0,405.0,0.0,206.0,1600.0,7875.0,3145.0,0.0,521.0,4847.0,3975.0,458.0,95.0,57.0,451.0,0.18,0.09,1.0,0.0,0.0,0.0,0.0,5039.0,5756.0,0.29,3.3,1.95,8.62,0.09,4847.0,0.09,0.08,29.96,0.18,0.06,0.17,67.0,011602101
1.0,5.0,9895.027583624564,0.0,20520.85630846215,0.0,1229.0,2580.0,91890.906947804,12020.0,282.0,1097.0,6138.0,91843.00458268373,28336.976830523425,4634.0,26929.561705396536,254783.97323247988,236851.83308126134,34058.0,739.8810728242584,1176.0,8477.0,0.05,0.01,1.0,0.0,1.0,0.0,0.0,31927.0,32595.0,0.72,1.4,1.38,12.39,0.38,182756.21688535265,0.01,0.3,5.22,0.35,1.6,1.59,5209.0,012052201
1.0,4.0,4600.0,181.0,340.0,0.0,140.0,307.0,6001.0,800.0,0.0,62.0,100.0,6001.0,3807.0,0.0,3427.0,19942.0,15848.0,3501.0,17.0,117.0,493.0,0.21,0.02,1.0,0.0,0.0,0.0,1.0,1404.0,1712.0,0.71,1.33,1.29,5.57,0.47,19942.0,0.02,0.37,13.73,0.75,0.31,1.27,276.0,013352103
1.0,4.0,6994.07,83.0,277.0,0.0,506.0,141.0,1712.0,865.0,0.0,22.0,500.0,1712.0,0.0,713.0,0.0,2653.0,2085.0,468.0,16.0,0.0,116.0,0.22,0.04,1.0,0.0,1.0,0.0,0.0,-1440.0,-1296.0,1.76,0.52,0.35,-9.19,-0.67,2653.0,0.04,-0.08,4.19,-0.13,1.4,2.57,190.0,013962101
1.0,5.0,7382.25,9521.917137054188,20520.85630846215,3141.204942682837,17147.0,7825.0,91890.906947804,13200.551692048537,11340.360589541327,3344.675051711699,11200.0,91843.00458268373,28336.976830523425,788.0,26929.561705396536,254783.97323247988,236851.83308126134,22055.0,-555.0,2038.0,10365.684718726967,0.12,0.03,1.0,0.0,0.0,0.0,0.0,38155.33666868011,41731.56540378609,0.77,1.23,1.18,12.18,1.05,182756.21688535265,0.03,0.12,3.49,0.14,0.09,0.07,718.0,022472201
1.0,4.0,9895.027583624564,650.0,813.0,0.0,312.0,467.0,12231.0,920.0,0.0,-32.0,100.0,12231.0,24.0,159.0,340.0,9306.0,3302.0,5662.0,33.0,0.0,418.0,0.65,0.04,1.0,0.0,0.0,0.0,0.0,7272.0,10701.0,0.13,5.75,5.55,19.54,0.09,9306.0,0.04,0.04,8.1,0.04,-0.05,3.04,314.0,031342201
1.0,3.0,5630.0,1532.0,781.0,0.0,4772.0,1182.0,10321.0,1759.0,0.0,-52.0,1900.0,10321.0,-201.0,160.0,2971.0,7235.0,6099.0,915.0,52.0,28.0,245.0,0.16,0.03,1.0,0.0,1.0,0.0,0.0,4166.0,5509.0,0.46,1.87,0.87,4.12,0.32,7235.0,0.03,0.05,3.54,0.14,2.08,14.55,230.0,031692101
1.0,4.0,7809.0,339.0,512.0,100.0,1605.0,2756.0,11008.0,985.0,0.0,-81.0,760.0,11008.0,5340.0,7.0,2663.0,12679.0,10270.0,1671.0,76.0,98.0,1085.0,0.2,0.09,1.0,0.0,1.0,0.0,0.0,4559.0,6571.0,0.4,2.36,1.88,2.86,0.15,12679.0,0.09,0.18,4.23,0.21,0.25,-0.26,-386.0,031892201
0.0,2.0,5861.0,768.7,1190.0,0.0,685.0,3498.0,53117.0,2691.0,0.0,47.0,100.0,53117.0,0.0,12.0,0.0,7810.0,2941.0,1494.0,-29.0,95.0,3269.0,0.63,0.42,1.0,1.0,1.0,0.0,0.0,10585.0,48397.0,0.09,6.22,5.88,1.32,0.06,7810.0,0.42,0.07,17.81,0.08,0.05,-0.08,-298.0,033282202
1.0,2.7909573138061923,7436.0,2647.0,12.0,15.0,247.0,161.0,3356.0,1455.0,0.0,23.0,1000.0,3356.0,1748.0,71.0,620.0,5649.0,3565.0,1634.0,-45.0,0.0,404.0,0.37,0.07,1.0,0.0,0.0,0.0,0.0,34825.0,34268.0,0.3,4.22,3.43,12.02,0.35,83764.0,0.04,0.09,6.88,0.1,0.59,0.57,1095.0,033482203
1.0,4.0,9895.027583624564,150.0,150.0,0.0,1251.0,1957.0,16054.0,2081.0,0.0,0.0,753.0,16054.0,4759.0,0.0,738.0,40990.0,37653.0,1347.0,0.0,0.0,2153.0,0.08,0.05,1.0,1.0,0.0,0.0,0.0,5186.0,13195.0,0.18,2.81,2.38,1.65,0.16,40990.0,0.05,0.18,4.61,0.2,0.14,0.25,433.0,038242201
1.0,2.0,9895.027583624564,1513.0,3091.0,73.0,7343.0,6257.0,91890.906947804,13200.551692048537,0.0,958.0,17964.479232341346,91843.00458268373,30472.0,2559.0,10431.0,66560.0,50460.0,12587.0,1.0,499.0,3611.0,0.25,0.05,1.0,1.0,0.0,0.0,0.0,38155.33666868011,41731.56540378609,0.52,3.38,3.16,14.3,0.81,66560.0,0.05,0.06,2.06,0.07,0.87,-0.13,-554.0,038602201
0.0,5.0,8724.0,1527.0,2307.0,232.0,5083.0,254.0,13628.0,1580.0,150.0,-503.0,1200.0,13628.0,4198.0,110.0,4402.0,16738.0,12368.0,3273.0,47.0,58.0,1615.0,0.23,0.1,1.0,0.0,0.0,0.8462543190414205,0.0,8269.0,7468.0,0.49,1.98,1.18,22.61,0.15,16738.0,0.1,0.29,11.33,0.31,0.36,3.78,1168.0,039342201
1.0,3.0,9895.027583624564,1214.0,11578.0,185.0,3954.0,15719.629829566398,91890.906947804,13200.551692048537,0.0,1072.0,5670.0,91843.00458268373,19509.0,3548.0,1353.0,12642.0,9278.0,2613.0,3.0,98.0,1202.0,0.28,0.1,1.0,0.0,1.0,0.0,0.0,26134.0,47551.0,0.5,2.57,2.33,5.98,0.88,12642.0,0.1,0.02,3.54,0.05,0.1,-0.21,-318.0,042222101
1.0,6.0,7900.0,513.0,1775.0,10.0,2734.0,3686.0,23156.0,3650.0,1600.0,217.0,1500.0,23156.0,10248.0,744.0,8453.0,19608.0,14909.0,3615.0,47.0,132.0,1063.0,0.24,0.05,1.0,1.0,0.0,0.0,0.0,3347.0,6990.0,0.7,1.22,1.04,2.14,0.75,19608.0,0.05,0.1,4.74,-0.49,0.14,-0.27,-384.0,043802101
0.0,3.0,4726.0,0.0,2950.0,3141.204942682837,1149.0,3863.0,42601.0,3264.0,808.0,38.0,6000.0,42601.0,22358.0,804.0,2139.0,7860.0,4839.0,1689.0,20.0,0.0,1353.0,0.39,0.17,1.0,1.0,0.0,0.0,0.0,24938.0,28866.0,0.26,3.25,3.15,8.18,0.13,7860.0,0.17,0.05,8.2,0.32,5.54,18.56,1284.0,045852101
1.0,4.0,10660.0,9521.917137054188,12915.0,49.0,29611.0,147.0,91890.906947804,13200.551692048537,0.0,310.0,18000.0,91843.00458268373,29088.0,7011.295489359003,481.0,22203.0,17696.0,1217.0,23.0,497.0,2815.0,0.2,0.13,1.0,1.0,1.0,0.0,0.0,38155.33666868011,41731.56540378609,0.33,4.3,3.29,494.13,0.32,22203.0,0.13,0.04,8.16,0.13,1.96,1.13,1492.0,046002103
1.0,2.0,4958.76,332.0,136.0,1614.0,742.0,1529.0,7262.0,191.0,0.0,27.0,800.0,7262.0,2640.0,601.0,598.0,2501.0,2019.0,228.0,-94.0,6.0,155.0,0.2,0.06,1.0,0.0,0.0,0.0,0.0,3625.0,5153.0,0.29,2.72,2.37,3.37,0.04,2501.0,0.06,0.06,58.32,0.0,0.53,-0.17,-32.0,047722101
1.0,3.0,7217.0,950.0,1054.0,1072.0,8928.0,896.0,37783.0,13200.551692048537,0.0,306.0,2000.0,37783.0,20700.0,0.0,5870.0,56842.0,48204.0,3647.0,253.0,1311.0,3933.0,0.15,0.07,1.0,0.0,1.0,0.0,0.0,13919.0,15107.0,0.6,1.61,1.22,13.78,0.99,56842.0,0.07,0.32,10.79,0.58,0.75,1.43,2317.0,048532101
1.0,4.0,12000.0,130.0,125.0,0.0,2379.0,33.0,10776.0,765.0,0.0,410.0,1500.0,10776.0,7430.0,405.0,2340.0,16646.0,14613.0,1211.0,0.0,10.0,804.0,0.12,0.05,1.0,0.0,0.0,0.0,1.0,6631.0,6940.0,0.36,2.73,2.11,22.47,0.11,16646.0,0.05,0.13,36.09,0.17,0.55,0.67,323.0,048822101
0.0,3.0,15000.0,1161.0,861.0,0.0,2092.0,814.0,12917.0,3130.0,2122.0,13.0,1200.0,12917.0,712.0,2879.0,124.0,8117.0,7646.0,618.0,10.0,0.0,-129.0,0.06,-0.02,1.0,0.0,0.0,0.0,0.0,5708.0,6967.0,0.46,1.96,1.61,5.54,0.75,8117.0,-0.02,-0.02,-2.54,0.02,0.46,-4.6,-165.0,049912102
1.0,3.0,10858.0,9521.917137054188,12143.0,3141.204942682837,9289.0,255.0,48355.0,2424.0,0.0,-656.0,5000.0,48355.0,15602.0,746.0,27658.0,12913.0,10395.0,2103.0,0.0,4.0,430.0,0.2,0.03,1.0,1.0,0.0,0.8462543190414205,0.0,5783.0,6336.0,0.87,1.14,0.92,26.97,0.37,12913.0,0.03,0.09,10.11,1.15,0.0,0.0,0.0,050952001
0.0,5.0,9411.0,298.0,859.0,438.0,12.0,16.0,8052.0,500.0,438.0,13.0,2000.0,8052.0,2758.0,401.0,1047.0,4220.0,3655.0,513.0,7.0,2.0,58.0,0.14,0.01,1.0,0.0,0.0,0.0,0.0,3697.0,3950.0,0.51,1.9,1.9,15.59,0.24,4220.0,0.01,0.01,3.84,0.01,-0.06,0.27,12.0,054372201
1.0,4.0,11785.0,327.0,1010.0,692.0,5323.0,668.0,17666.0,2140.0,0.0,-3.0,1000.0,17666.0,4784.0,27.0,4353.0,12086.0,7809.0,3050.0,228.0,0.0,1455.0,0.36,0.12,1.0,1.0,0.0,0.0,0.0,7623.0,10309.0,0.41,2.05,1.32,3.91,0.21,12086.0,0.12,0.16,23.94,0.31,0.46,4.89,1208.0,056132101
1.0,5.0,6912.0,2097.0,888.0,1166.0,4824.0,1636.0,18548.0,2235.0,0.0,86.0,2677.0,18548.0,6644.0,120.0,4793.0,20751.0,16040.0,3895.0,760.0,33.0,1543.0,0.23,0.07,1.0,0.0,0.0,0.0,0.0,6038.0,8307.0,0.55,1.61,1.12,3.45,0.27,20751.0,0.07,0.18,15.01,-0.09,0.22,6.71,1343.0,056872301
1.0,5.0,7468.0,1050.0,1375.0,1371.0,696.0,5735.0,15505.0,954.0,0.0,225.0,3470.0,15505.0,2219.0,66.0,1814.0,15109.0,10606.0,1897.0,-62.0,287.0,2173.0,0.3,0.14,1.0,0.0,0.0,0.0,0.0,1376.0,7468.0,0.47,1.26,1.06,1.32,0.25,15833.0,0.14,0.34,16.02,0.41,0.32,2.27,1593.0,056912202
